paper_id,title,year,datasets,models,generator_families,metrics,distortions,robustness_conditions,method_keywords,entity_count,result_tuple_count
P055,Unknown,Unknown,"DeepFakeDetection, ImageNet, UniversalFakeDetect","CLIP, CNN, EfficientNet, ResNet, ViT","DALL-E, GAN, ProGAN, diffusion, latent diffusion",accuracy,JPEG,social media,"DIRE, attribution, frequency, generalizable, localization, spectral",58,0
C434,Unknown,Unknown,,"CLIP, MAE","DALL-E, Midjourney, Stable Diffusion, diffusion","AP, accuracy, precision",,,spectrum,78,0
P008,Unknown,Unknown,"ArtiFact, COCO, GenImage, MS-COCO","CLIP, CNN, DINOv2, ResNet, ViT, Vision Transformer","BigGAN, Flux, GAN, Midjourney, ProGAN, SDXL, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AP, F1, acc, accuracy, precision","JPEG, blur, compression, downsampling, resize","cross-domain, degradation, in-the-wild, robustness","DIRE, artifact, co-occurrence, frequency, generalizable, spectral, spectrum",427,25
P037,Unknown,Unknown,,CNN,"StyleGAN, diffusion","F1, accuracy, precision, recall",compression,"cross-domain, robustness","frequency, spectrum",100,0
C413,Unknown,Unknown,ImageNet,"CNN, MAE, Xception",GAN,accuracy,Gaussian noise,"compressed, social media","attribution, generalizable, localization",75,12
P056,Unknown,Unknown,"ArtiFact, COCO, DeepFakeDetection, ForenSynths, ImageNet, LAION","CLIP, CNN, ResNet, Xception","BigGAN, DALL-E, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, diffusion, latent diffusion","acc, accuracy, precision",perturbation,compressed,"DIRE, artifact, frequency, generalizable, localization, spectral, spectrum, universal detector, zero-shot",307,7
P064,Unknown,Unknown,"ArtiFact, GenImage, ImageNet, LAION, UniversalFakeDetect","CLIP, CNN, ResNet, ViT, Xception","BigGAN, GAN, Midjourney, ProGAN, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AP, acc, accuracy, precision","JPEG, blur, compression, resize",robustness,"DIRE, artifact, attribution, generalizable, reconstruction error, zero-shot",250,16
P052,Unknown,Unknown,LAION,"CLIP, CNN, ViT, Xception","DALL-E, GAN, Midjourney, Stable Diffusion, diffusion, latent diffusion","AP, AUC, accuracy, precision","JPEG, compression, perturbation, resize",robustness,"CLIP-based, FIRE, attribution, frequency, reconstruction error, spectral, spectrum",142,2
C416,Unknown,Unknown,,"CNN, MAE",GAN,accuracy,"compression, crop",social media,"frequency, generalizable",36,1
P040,Unknown,Unknown,"ArtiFact, COCO, GenImage, ImageNet","CLIP, CNN, ResNet","BigGAN, DALL-E, GAN, Midjourney, ProGAN, SDXL, Stable Diffusion, StyleGAN, diffusion, latent diffusion","AP, accuracy, precision, recall","Gaussian noise, JPEG, blur, compression, crop, downsampling","degradation, robustness","DIRE, artifact, attribution, frequency, reconstruction error, spectral",353,1
