result_id,paper_id,paper_title,year,dataset_guess,metric_guess,value_guess,value_numeric,value_scale_guess,condition_guess,model_guess,evidence_anchor,raw_text,confidence
R00087,P002,Unknown,Unknown,unknown,F1,0.76,0.76,decimal,unknown,unknown,P002_C59,"Mandelli et al. (AUROC = 0.86, F1 = 0.88, MCC = 0.76)",medium
R00088,P002,Unknown,Unknown,unknown,F1,0.82,0.82,decimal,unknown,unknown,P002_C60,"Mandelli et al. (AUROC = 0.82, F1 = 0.82, MCC = 0.61)",medium
R00089,P002,Unknown,Unknown,unknown,F1,0.82,0.82,decimal,unknown,unknown,P002_C60,"Mandelli et al. (AUROC = 0.82, F1 = 0.82, MCC = 0.61)",medium
R00090,P002,Unknown,Unknown,unknown,F1,0.61,0.61,decimal,unknown,unknown,P002_C60,"Mandelli et al. (AUROC = 0.82, F1 = 0.82, MCC = 0.61)",medium
R00091,P002,Unknown,Unknown,unknown,F1,0.27,0.27,decimal,unknown,unknown,P002_C61,"Corvi et al. (AUROC = 0.27, F1 = 0.67, MCC = 0.12)",medium
R00092,P002,Unknown,Unknown,unknown,F1,0.67,0.67,decimal,unknown,unknown,P002_C61,"Corvi et al. (AUROC = 0.27, F1 = 0.67, MCC = 0.12)",medium
R00093,P002,Unknown,Unknown,unknown,F1,0.12,0.12,decimal,unknown,unknown,P002_C61,"Corvi et al. (AUROC = 0.27, F1 = 0.67, MCC = 0.12)",medium
R00094,P002,Unknown,Unknown,unknown,F1,0.17,0.17,decimal,unknown,unknown,P002_C62,"Corvi et al. (AUROC = 0.17, F1 = 0.67, MCC = 0.00)",medium
R00095,P002,Unknown,Unknown,unknown,F1,0.67,0.67,decimal,unknown,unknown,P002_C62,"Corvi et al. (AUROC = 0.17, F1 = 0.67, MCC = 0.00)",medium
R00096,P002,Unknown,Unknown,unknown,F1,0.00,0.0,decimal,unknown,unknown,P002_C62,"Corvi et al. (AUROC = 0.17, F1 = 0.67, MCC = 0.00)",medium
R00097,P002,Unknown,Unknown,unknown,F1,0.73,0.73,decimal,unknown,unknown,P002_C63,"Gragnaniello et al. (AUROC = 0.73, F1 = 0.75, MCC = 0.45)",medium
R00098,P002,Unknown,Unknown,unknown,F1,0.75,0.75,decimal,unknown,unknown,P002_C63,"Gragnaniello et al. (AUROC = 0.73, F1 = 0.75, MCC = 0.45)",medium
R00099,P002,Unknown,Unknown,unknown,F1,0.45,0.45,decimal,unknown,unknown,P002_C63,"Gragnaniello et al. (AUROC = 0.73, F1 = 0.75, MCC = 0.45)",medium
R00100,P002,Unknown,Unknown,unknown,F1,0.34,0.34,decimal,unknown,unknown,P002_C64,"Gragnaniello et al. (AUROC = 0.34, F1 = 0.67, MCC = 0.00)",medium
R00101,P002,Unknown,Unknown,unknown,F1,0.67,0.67,decimal,unknown,unknown,P002_C64,"Gragnaniello et al. (AUROC = 0.34, F1 = 0.67, MCC = 0.00)",medium
R00102,P002,Unknown,Unknown,unknown,F1,0.00,0.0,decimal,unknown,unknown,P002_C64,"Gragnaniello et al. (AUROC = 0.34, F1 = 0.67, MCC = 0.00)",medium
R00103,P002,Unknown,Unknown,unknown,F1,0.38,0.38,decimal,unknown,unknown,P002_C65,"PatchForensics (AUROC = 0.38, F1 = 0.67, MCC = 0.11)",medium
R00104,P002,Unknown,Unknown,unknown,F1,0.67,0.67,decimal,unknown,unknown,P002_C65,"PatchForensics (AUROC = 0.38, F1 = 0.67, MCC = 0.11)",medium
R00105,P002,Unknown,Unknown,unknown,F1,0.11,0.11,decimal,unknown,unknown,P002_C65,"PatchForensics (AUROC = 0.38, F1 = 0.67, MCC = 0.11)",medium
R00106,P002,Unknown,Unknown,unknown,F1,0.24,0.24,decimal,unknown,unknown,P002_C66,"PatchForensics (AUROC = 0.24, F1 = 0.67, MCC = 0.02)",medium
R00107,P002,Unknown,Unknown,unknown,F1,0.67,0.67,decimal,unknown,unknown,P002_C66,"PatchForensics (AUROC = 0.24, F1 = 0.67, MCC = 0.02)",medium
R00108,P002,Unknown,Unknown,unknown,F1,0.02,0.02,decimal,unknown,unknown,P002_C66,"PatchForensics (AUROC = 0.24, F1 = 0.67, MCC = 0.02)",medium
R00109,P002,Unknown,Unknown,unknown,F1,1.00,1.0,decimal,unknown,unknown,P002_C67,"Proposed (AUROC = 1.00, F1 = 0.97, MCC = 0.93)",medium
R00110,P002,Unknown,Unknown,unknown,F1,0.97,0.97,decimal,unknown,unknown,P002_C67,"Proposed (AUROC = 1.00, F1 = 0.97, MCC = 0.93)",medium
R00111,P002,Unknown,Unknown,unknown,F1,0.93,0.93,decimal,unknown,unknown,P002_C67,"Proposed (AUROC = 1.00, F1 = 0.97, MCC = 0.93)",medium
R00112,P002,Unknown,Unknown,unknown,F1,1.00,1.0,decimal,unknown,unknown,P002_C68,"Proposed (AUROC = 1.00, F1 = 0.97, MCC = 0.94)",medium
R00113,P002,Unknown,Unknown,unknown,F1,0.97,0.97,decimal,unknown,unknown,P002_C68,"Proposed (AUROC = 1.00, F1 = 0.97, MCC = 0.94)",medium
R00114,P002,Unknown,Unknown,unknown,F1,0.94,0.94,decimal,unknown,unknown,P002_C68,"Proposed (AUROC = 1.00, F1 = 0.97, MCC = 0.94)",medium
R00115,P002,Unknown,Unknown,unknown,F1,1.00,1.0,decimal,unknown,unknown,P002_C69,"Proposed, Specific (AUROC = 1.00, F1 = 0.98, MCC = 0.97)",medium
R00116,P002,Unknown,Unknown,unknown,F1,0.98,0.98,decimal,unknown,unknown,P002_C69,"Proposed, Specific (AUROC = 1.00, F1 = 0.98, MCC = 0.97)",medium
R00117,P002,Unknown,Unknown,unknown,F1,0.97,0.97,decimal,unknown,unknown,P002_C69,"Proposed, Specific (AUROC = 1.00, F1 = 0.98, MCC = 0.97)",medium
R00118,P002,Unknown,Unknown,unknown,F1,1.00,1.0,decimal,unknown,unknown,P002_C70,"Proposed, Specific (AUROC = 1.00, F1 = 0.99, MCC = 0.97)",medium
R00119,P002,Unknown,Unknown,unknown,F1,0.99,0.99,decimal,unknown,unknown,P002_C70,"Proposed, Specific (AUROC = 1.00, F1 = 0.99, MCC = 0.97)",medium
R00120,P002,Unknown,Unknown,unknown,F1,0.97,0.97,decimal,unknown,unknown,P002_C70,"Proposed, Specific (AUROC = 1.00, F1 = 0.99, MCC = 0.97)",medium
R00121,P002,Unknown,Unknown,unknown,F1,0.97,0.97,decimal,unknown,unknown,P002_C71,"Proposed, Generalization (AUROC = 0.97, F1 = 0.92, MCC = 0.83)",medium
R00122,P002,Unknown,Unknown,unknown,F1,0.92,0.92,decimal,unknown,unknown,P002_C71,"Proposed, Generalization (AUROC = 0.97, F1 = 0.92, MCC = 0.83)",medium
R00123,P002,Unknown,Unknown,unknown,F1,0.83,0.83,decimal,unknown,unknown,P002_C71,"Proposed, Generalization (AUROC = 0.97, F1 = 0.92, MCC = 0.83)",medium
R00124,P002,Unknown,Unknown,unknown,F1,0.97,0.97,decimal,unknown,unknown,P002_C72,"Proposed, Generalization (AUROC = 0.97, F1 = 0.92, MCC = 0.83)",medium
R00125,P002,Unknown,Unknown,unknown,F1,0.92,0.92,decimal,unknown,unknown,P002_C72,"Proposed, Generalization (AUROC = 0.97, F1 = 0.92, MCC = 0.83)",medium
R00126,P002,Unknown,Unknown,unknown,F1,0.83,0.83,decimal,unknown,unknown,P002_C72,"Proposed, Generalization (AUROC = 0.97, F1 = 0.92, MCC = 0.83)",medium
R00127,P002,Unknown,Unknown,unknown,F1,0.53,0.53,decimal,unknown,unknown,P002_C73,"UFD (AUROC = 0.53, F1 = 0.67, MCC = 0.24)",medium
R00128,P002,Unknown,Unknown,unknown,F1,0.67,0.67,decimal,unknown,unknown,P002_C73,"UFD (AUROC = 0.53, F1 = 0.67, MCC = 0.24)",medium
R00129,P002,Unknown,Unknown,unknown,F1,0.24,0.24,decimal,unknown,unknown,P002_C73,"UFD (AUROC = 0.53, F1 = 0.67, MCC = 0.24)",medium
R00130,P002,Unknown,Unknown,unknown,F1,0.52,0.52,decimal,unknown,unknown,P002_C74,"UFD (AUROC = 0.52, F1 = 0.67, MCC = 0.22)",medium
R00131,P002,Unknown,Unknown,unknown,F1,0.67,0.67,decimal,unknown,unknown,P002_C74,"UFD (AUROC = 0.52, F1 = 0.67, MCC = 0.22)",medium
R00132,P002,Unknown,Unknown,unknown,F1,0.22,0.22,decimal,unknown,unknown,P002_C74,"UFD (AUROC = 0.52, F1 = 0.67, MCC = 0.22)",medium
R00133,P002,Unknown,Unknown,unknown,F1,0.35,0.35,decimal,unknown,unknown,P002_C75,"Wang et al. (AUROC = 0.35, F1 = 0.14, MCC = 0.00)",medium
R00134,P002,Unknown,Unknown,unknown,F1,0.14,0.14,decimal,unknown,unknown,P002_C75,"Wang et al. (AUROC = 0.35, F1 = 0.14, MCC = 0.00)",medium
R00135,P002,Unknown,Unknown,unknown,F1,0.00,0.0,decimal,unknown,unknown,P002_C75,"Wang et al. (AUROC = 0.35, F1 = 0.14, MCC = 0.00)",medium
R00136,P002,Unknown,Unknown,unknown,F1,0.35,0.35,decimal,unknown,unknown,P002_C76,"Wang et al. (AUROC = 0.35, F1 = 0.13, MCC = 0.00)",medium
R00137,P002,Unknown,Unknown,unknown,F1,0.13,0.13,decimal,unknown,unknown,P002_C76,"Wang et al. (AUROC = 0.35, F1 = 0.13, MCC = 0.00)",medium
R00138,P002,Unknown,Unknown,unknown,F1,0.00,0.0,decimal,unknown,unknown,P002_C76,"Wang et al. (AUROC = 0.35, F1 = 0.13, MCC = 0.00)",medium
